priority,total,executed,matched,coverage%
P200,6,6,6,100.00
P190,3,3,3,100.00
P185,4,4,4,100.00
P180,2,2,2,100.00
P170,4,4,4,100.00
P160,5,5,5,100.00
P150,3,3,3,100.00
P145,1,1,1,100.00
P140,2,2,2,100.00
P130,3,3,3,100.00
P120,2,2,2,100.00
P100,9,9,9,100.00
P95,3,3,3,100.00
P99,7,7,7,100.00
P98,3,3,3,100.00
P92,6,6,6,100.00
P88,6,6,6,100.00
P220,4,4,4,100.00
P218,1,1,1,100.00
P216,1,1,1,100.00
P214,1,1,1,100.00
P212,1,1,1,100.00
P210,1,1,1,100.00
P208,1,1,1,100.00
P206,1,1,1,100.00
P204,1,1,1,100.00
P202,1,1,1,100.00
P198,1,1,1,100.00
P196,1,1,1,100.00
P194,1,1,1,100.00
P193,1,1,1,100.00
P192,6,6,6,100.00
P80,3,3,3,100.00
P75,2,2,2,100.00
P70,4,4,4,100.00
P175,8,8,8,100.00
P172,1,1,1,100.00
P168,1,1,1,100.00
P165,4,4,4,100.00
P162,1,1,1,100.00
P156,1,1,1,100.00
P154,1,1,1,100.00
P152,1,1,1,100.00
P148,2,2,2,100.00
P146,2,2,2,100.00
P118,1,1,1,100.00
P116,1,1,1,100.00
P114,1,1,1,100.00
P110,1,1,1,100.00
P108,1,1,1,100.00
P104,1,1,1,100.00
P102,1,1,1,100.00
P96,1,1,1,100.00
P94,1,1,1,100.00
P188,3,3,3,100.00
P155,1,1,1,100.00
P153,1,1,1,100.00
P144,1,1,1,100.00
P60,1,1,1,100.00
P205,1,1,1,100.00
P50,1,1,1,100.00
P1,1,1,1,100.00
P195,4,4,3,75.00
P158,2,2,1,50.00
P112,1,1,0,0.00
P142,1,1,0,0.00