index,ruleId,name,category,priority,executionCount,matchCount,matchRate
0,quzhi-ge,曲直格,专旺格,200,5000,12,0.24%
1,yanshang-ge,炎上格,专旺格,200,5000,9,0.18%
2,jiase-ge,稼穑格,专旺格,200,5000,32,0.64%
3,congge-ge,从革格,专旺格,200,5000,5,0.10%
4,runxia-ge,润下格,专旺格,200,5000,7,0.14%
5,cong-guansha-zhen,从官杀格,从格,190,5000,7,0.14%
6,qiming-congsha,弃命从杀,从格,185,5000,1,0.02%
7,qiming-congguan,弃命从官,从格,185,5000,1,0.02%
8,cong-cai-zhen,从财格,从格,190,5000,1,0.02%
9,qiming-congcai,弃命从财,从格,185,5000,1,0.02%
10,cong-er-zhen,从儿格,从格,185,5000,5,0.10%
11,cong-yin-zhen,从印格,从格,180,5000,4,0.08%
12,jia-cong,假从格,从格,170,5000,188,3.76%
13,hua-qi-ge,化气格,化气格,160,5000,55,1.10%
14,tiao-hou-zuoyong,调候格,调候格,150,5000,1627,32.54%
15,hannuan-zaoshi,寒暖燥湿格,调候格,145,5000,1309,26.18%
16,bing-yao-ge,病药格,病药格,140,5000,2492,49.84%
17,fu-yi-ge,扶抑格,扶抑格,130,5000,2044,40.88%
18,tong-guan-ge,通关格,通关格,120,5000,469,9.38%
19,zheng-guan-tou,正官格,正格,100,5000,518,10.36%
20,qi-sha-tou,七杀格,正格,100,5000,527,10.54%
21,zheng-yin-tou,正印格,正格,100,5000,493,9.86%
22,pian-yin-tou,偏印格,正格,100,5000,477,9.54%
23,shi-shen-tou,食神格,正格,100,5000,494,9.88%
24,shang-guan-tou,伤官格,正格,100,5000,481,9.62%
25,zheng-cai-tou,正财格,正格,100,5000,488,9.76%
26,pian-cai-tou,偏财格,正格,100,5000,485,9.70%
27,bi-jian-tou,比肩格,正格,95,5000,523,10.46%
28,jie-cai-tou,劫财格,正格,95,5000,514,10.28%
29,zhengguan-shangge,正官上格,正格成格,99,5000,40,0.80%
30,zhengguan-zhongge,正官中格,正格成格,98,5000,500,10.00%
31,qisha-shangge,七杀上格,正格成格,99,5000,243,4.86%
32,qisha-zhongge,七杀中格,正格成格,98,5000,510,10.20%
33,zhengyin-shangge,正印上格,正格成格,99,5000,174,3.48%
34,shishen-shangge,食神上格,正格成格,99,5000,155,3.10%
35,shangguan-shangge,伤官上格,正格成格,99,5000,153,3.06%
36,zhengcai-shangge,正财上格,正格成格,99,5000,85,1.70%
37,piancai-shangge,偏财上格,正格成格,99,5000,158,3.16%
38,zhengguan-poge-guanke,正官破格-官被克,破格,92,5000,98,1.96%
39,zhengguan-poge-qisya,正官破格-七杀混杂,破格,92,5000,101,2.02%
40,qisha-poge-wuzhi,七杀破格-无制,破格,92,5000,258,5.16%
41,qisha-poge-yinshang,七杀破格-印被财破,破格,88,5000,47,0.94%
42,cai-poge-jiecai,财格破格-劫财分财,破格,88,5000,177,3.54%
43,yin-poge-caixin,印格破格-财星破印,破格,88,5000,323,6.46%
44,shishen-poge-xiaoshen,食神破格-枭神夺食,破格,92,5000,88,1.76%
45,shishen-poge-shangguan,食神破格-伤官见官,破格,92,5000,16,0.32%
46,shangguan-poge-guansha,伤官破格-无财通关,破格,88,5000,90,1.80%
47,zhengguan-chengge-wugen,正官成格-官有根,正格成格,220,5000,191,3.82%
48,qisha-chengge-youzhi,七杀成格-杀有制,正格成格,220,5000,269,5.38%
49,shishen-chengge-wuxie,食神成格-食神无邪,正格成格,220,5000,322,6.44%
50,cai-chengge-caiyouli,财格成格-财星有力,正格成格,220,5000,513,10.26%
51,guanyin-xiangsheng,官印相生,正格成格,218,5000,97,1.94%
52,guancai-xiangsheng,官财相生,正格成格,216,5000,181,3.62%
53,guanxing-duqing,官星独清,正格成格,214,5000,332,6.64%
54,zhen-guan-ge,真官格,正格成格,212,5000,26,0.52%
55,guansha-hunza,官杀混杂,破格,210,5000,276,5.52%
56,guanzhong-shenqing,官重身轻,破格,208,5000,179,3.58%
57,guanqing-yinzhong,官轻印重,破格,206,5000,5,0.10%
58,zhen-qisha-ge,真七杀格,正格成格,204,5000,59,1.18%
59,shayin-xiangsheng,杀印相生,正格成格,202,5000,193,3.86%
60,zhen-shishen-ge,真食神格,正格成格,200,5000,130,2.60%
61,zhen-shangguan-ge,真伤官格,正格成格,198,5000,123,2.46%
62,zhen-cai-ge,真财格,正格成格,196,5000,264,5.28%
63,zhen-zhengyin-ge,真正印格,正格成格,194,5000,101,2.02%
64,zhen-pianyin-ge,真偏印格,正格成格,193,5000,90,1.80%
65,zhen-bijian-ge,真比肩格,正格成格,192,5000,123,2.46%
66,geju-gao-wanzheng,格局高-完美成格,格局层次,80,5000,921,18.42%
67,geju-gao-tiaohou,格局高-调候为急,格局层次,80,5000,961,19.22%
68,geju-chenggong,格局成-用神有力,格局层次,75,5000,2508,50.16%
69,geju-bai,格局败-偏枯太重,格局层次,75,5000,747,14.94%
70,qingcun-zhenguan,清纯-官星清,清纯判断,70,5000,417,8.34%
71,qingcun-shishen,清纯-食神清,清纯判断,70,5000,322,6.44%
72,feitian-luma,飞天禄马,特殊格局,180,5000,2,0.04%
73,jinshen-ge,金神格,特殊格局,170,5000,53,1.06%
74,kuigang-ge,魁罡格,特殊格局,175,5000,181,3.62%
75,liuyi-shugui,六乙鼠贵格,特殊格局,175,5000,42,0.84%
76,renqi-longbei,壬骑龙背格,特殊格局,175,5000,45,0.90%
77,liuyin-chaoyang,六阴朝阳格,特殊格局,175,5000,37,0.74%
78,liujia-quqian,六甲趋乾格,特殊格局,175,5000,43,0.86%
79,jinglan-cha,井栏叉格,特殊格局,170,5000,10,0.20%
80,daochong-ge,倒冲格,特殊格局,170,5000,13,0.26%
81,tianyuan-yiqi,天元一气,特殊格,175,5000,3,0.06%
82,diyuan-yiqi,地元一气,特殊格,172,5000,1,0.02%
83,liangshen-chengxiang,两神成象,特殊格,168,5000,39,0.78%
84,sanqi-guiren,三奇贵人,特殊格,165,5000,304,6.08%
85,jinbai-shuiqing,金白水清,特殊格,162,5000,109,2.18%
86,muhuo-tongming,木火通明,特殊格,160,5000,78,1.56%
87,shuihuo-jiji,水火既济,特殊格,158,5000,724,14.48%
88,huotu-chengci,火土成慈,特殊格,156,5000,151,3.02%
89,jinhan-shuiling,金寒水冷,特殊格,154,5000,32,0.64%
90,caiguan-shuangmei,财官双美,特殊格,152,5000,876,17.52%
91,shayin-shuangqing,杀印双清,特殊格,150,5000,193,3.86%
92,shishen-zhisha,食神制杀,特殊格,148,5000,278,5.56%
93,shangguan-peiyin,伤官佩印,特殊格,146,5000,487,9.74%
94,liuxiu-ri,六秀日,特殊格,120,5000,241,4.82%
95,shiling-ri,十灵日,特殊格,118,5000,425,8.50%
96,siwei-chunquan,四位纯全,特殊格,116,5000,20,0.40%
97,tiangan-shunshi,天干顺食,特殊格,114,5000,34,0.68%
98,liangqi-chengxiang,两气成象,特殊格,112,5000,0,0.00%
99,shishen-shengcai,食神生财,特殊格,110,5000,172,3.44%
100,shangguan-shengcai,伤官生财,特殊格,108,5000,169,3.38%
101,yinlai-shasheng,印赖杀生,特殊格,104,5000,213,4.26%
102,shangguan-jianguan,伤官见官,破格,102,5000,262,5.24%
103,xiaoshen-duoshi,枭神夺食,破格,100,5000,88,1.76%
104,tiangan-yiqi,天干一气,特殊格,98,5000,3,0.06%
105,dizhi-yiqi,地支一气,特殊格,96,5000,1,0.02%
106,tiandi-dehe,天地德合,特殊格,94,5000,39,0.78%
107,fude-xiuxiu,福德秀气,特殊格,92,5000,85,1.70%
108,zhen-cong-guansha,真从官杀格,从格,195,5000,0,0.00%
109,jia-cong-guansha,假从官杀格,从格,188,5000,24,0.48%
110,zhen-cong-cai,真从财格,从格,195,5000,10,0.20%
111,jia-cong-cai,假从财格,从格,188,5000,48,0.96%
112,zhen-cong-er,真从儿格,从格,195,5000,3,0.06%
113,jia-cong-er,假从儿格,从格,188,5000,24,0.48%
114,ban-cong,半从格,从格,165,5000,313,6.26%
115,cong-er-bucong,从而不从格,从格,160,5000,317,6.34%
116,zhen-cong-shi,真从势格,从格,158,5000,0,0.00%
117,jia-cong-shi,假从势格,从格,155,5000,46,0.92%
118,zhen-cong-qiang,真从强格,从格,153,5000,13,0.26%
119,jia-cong-qiang,假从强格,从格,150,5000,117,2.34%
120,cong-wang,从旺格,从格,148,5000,113,2.26%
121,ban-cong-yin,半从印格,从格,146,5000,9,0.18%
122,jia-cong-yin,假从印格,从格,144,5000,42,0.84%
123,zhen-cong-sha,真从杀格,从格,142,5000,0,0.00%
124,congge-poge,从格破格,破格,140,5000,432,8.64%
125,jia-zhuanwang,假专旺格,专旺格,195,5000,41,0.82%
126,jiaji-huatu,甲己化土格,化气格,192,5000,123,2.46%
127,yigeng-huajin,乙庚化金格,化气格,192,5000,158,3.16%
128,bingxin-huashui,丙辛化水格,化气格,192,5000,159,3.18%
129,dingren-huamu,丁壬化木格,化气格,192,5000,134,2.68%
130,wugui-huahuo,戊癸化火格,化气格,192,5000,129,2.58%
131,hanming-tiaohou,寒命调候格,调候格,175,5000,145,2.90%
132,nuanming-tiaohou,暖命调候格,调候格,175,5000,156,3.12%
133,bingzhong-yaoqing,病重药轻格,病药格,160,5000,1006,20.12%
134,bingyao-xiangji,病药相济格,病药格,160,5000,1514,30.28%
135,guansha-tongguan,官杀通关格,通关格,165,5000,64,1.28%
136,bijie-tongguan,比劫通关格,通关格,165,5000,2448,48.96%
137,zhengguan-poge-hunza,正官破格-官杀混杂,破格,95,5000,101,2.02%
138,cai-poge-hunza,财格破格-财星混杂,破格,88,5000,181,3.62%
139,yin-poge-hunza,印格破格-印星混杂,破格,88,5000,168,3.36%
140,geju-shangdeng,格局上等,格局层次,80,5000,103,2.06%
141,geju-zhongdeng,格局中等,格局层次,70,5000,2031,40.62%
142,geju-xiadeng,格局下等,格局层次,60,5000,1006,20.12%
143,fuyi-fushen,扶抑格-扶身,扶抑格,130,5000,716,14.32%
144,fuyi-yixie,扶抑格-抑泄,扶抑格,130,5000,709,14.18%
145,cong-yin-zhen,真从印格,从格,190,5000,3,0.06%
146,zhuānwàng-gé,专旺格-纯,专旺格,205,5000,39,0.78%
147,qingcun-cai,清纯-财星清,清纯判断,70,5000,796,15.92%
148,geju-wanzhong,格局万终-用神溃散,格局层次,50,5000,488,9.76%
149,default-putong,普通格局,正格,1,5000,5000,100.00%