ruleId,name,priority,category,executionCount,matchCount,coverage
default-putong,"普通格局",1,"正格",8000,8000,YES
geju-chenggong,"格局成-用神有力",75,"格局层次",8000,4638,YES
fu-yi-ge,"扶抑格",130,"扶抑格",8000,4443,YES
bijie-tongguan,"比劫通关格",165,"通关格",8000,4125,YES
geju-zhongdeng,"格局中等",70,"格局层次",8000,3414,YES
bing-yao-ge,"病药格",140,"病药格",8000,3362,YES
tiao-hou-zuoyong,"调候格",150,"调候格",8000,2641,YES
bingyao-xiangji,"病药相济格",160,"病药格",8000,2452,YES
hannuan-zaoshi,"寒暖燥湿格",145,"调候格",8000,2137,YES
caiguan-shuangmei,"财官双美",152,"特殊格",8000,1979,YES
geju-gao-tiaohou,"格局高-调候为急",80,"格局层次",8000,1599,YES
geju-gao-wanzheng,"格局高-完美成格",80,"格局层次",8000,1596,YES
bingzhong-yaoqing,"病重药轻格",160,"病药格",8000,1585,YES
geju-xiadeng,"格局下等",60,"格局层次",8000,1585,YES
fuyi-fushen,"扶抑格-扶身",130,"扶抑格",8000,1494,YES
geju-bai,"格局败-偏枯太重",75,"格局层次",8000,1488,YES
qingcun-cai,"清纯-财星清",70,"清纯判断",8000,1287,YES
ban-cong,"半从格",165,"从格",8000,875,YES
pian-yin-tou,"偏印格",100,"正格",8000,828,YES
zheng-yin-tou,"正印格",100,"正格",8000,808,YES
shi-shen-tou,"食神格",100,"正格",8000,807,YES
jie-cai-tou,"劫财格",95,"正格",8000,805,YES
zheng-cai-tou,"正财格",100,"正格",8000,801,YES
bi-jian-tou,"比肩格",95,"正格",8000,799,YES
shang-guan-tou,"伤官格",100,"正格",8000,795,YES
qi-sha-tou,"七杀格",100,"正格",8000,793,YES
pian-cai-tou,"偏财格",100,"正格",8000,787,YES
qisha-zhongge,"七杀中格",98,"正格成格",8000,786,YES
zheng-guan-tou,"正官格",100,"正格",8000,777,YES
zhengguan-zhongge,"正官中格",98,"正格成格",8000,772,YES
shangguan-peiyin,"伤官佩印",146,"特殊格",8000,712,YES
tong-guan-ge,"通关格",120,"通关格",8000,642,YES
cai-chengge-caiyouli,"财格成格-财星有力",220,"正格成格",8000,631,YES
yin-poge-caixin,"印格破格-财星破印",88,"破格",8000,627,YES
qingcun-zhenguan,"清纯-官星清",70,"清纯判断",8000,626,YES
zhen-cai-ge,"真财格",196,"正格成格",8000,593,YES
shishen-chengge-wuxie,"食神成格-食神无邪",220,"正格成格",8000,499,YES
qingcun-shishen,"清纯-食神清",70,"清纯判断",8000,499,YES
congge-poge,"从格破格",140,"破格",8000,490,YES
qisha-chengge-youzhi,"七杀成格-杀有制",220,"正格成格",8000,469,YES
guanxing-duqing,"官星独清",214,"正格成格",8000,468,YES
qisha-shangge,"七杀上格",99,"正格成格",8000,460,YES
cong-er-bucong,"从而不从格",160,"从格",8000,445,YES
sanqi-guiren,"三奇贵人",165,"特殊格",8000,374,YES
guansha-hunza,"官杀混杂",210,"破格",8000,354,YES
shishen-zhisha,"食神制杀",148,"特殊格",8000,345,YES
shangguan-jianguan,"伤官见官",102,"破格",8000,341,YES
yin-poge-hunza,"印格破格-印星混杂",88,"破格",8000,326,YES
qisha-poge-wuzhi,"七杀破格-无制",92,"破格",8000,324,YES
yinlai-shasheng,"印赖杀生",104,"特殊格",8000,323,YES
shayin-xiangsheng,"杀印相生",202,"正格成格",8000,319,YES
shayin-shuangqing,"杀印双清",150,"特殊格",8000,319,YES
zhengyin-shangge,"正印上格",99,"正格成格",8000,315,YES
shangguan-shengcai,"伤官生财",108,"特殊格",8000,314,YES
cai-poge-hunza,"财格破格-财星混杂",88,"破格",8000,314,YES
shishen-shengcai,"食神生财",110,"特殊格",8000,312,YES
shangguan-shangge,"伤官上格",99,"正格成格",8000,310,YES
piancai-shangge,"偏财上格",99,"正格成格",8000,305,YES
shishen-shangge,"食神上格",99,"正格成格",8000,304,YES
guanzhong-shenqing,"官重身轻",208,"破格",8000,304,YES
cai-poge-jiecai,"财格破格-劫财分财",88,"破格",8000,301,YES
zhengguan-chengge-wugen,"正官成格-官有根",220,"正格成格",8000,300,YES
fuyi-yixie,"扶抑格-抑泄",130,"扶抑格",8000,300,YES
zhen-pianyin-ge,"真偏印格",193,"正格成格",8000,299,YES
zhen-shangguan-ge,"真伤官格",198,"正格成格",8000,295,YES
cong-wang,"从旺格",148,"从格",8000,292,YES
guancai-xiangsheng,"官财相生",216,"正格成格",8000,290,YES
zhen-zhengyin-ge,"真正印格",194,"正格成格",8000,287,YES
zhen-shishen-ge,"真食神格",200,"正格成格",8000,282,YES
geju-wanzhong,"格局万终-用神溃散",50,"格局层次",8000,195,YES
shiling-ri,"十灵日",118,"特殊格",8000,192,YES
zhen-bijian-ge,"真比肩格",192,"正格成格",8000,174,YES
fude-xiuxiu,"福德秀气",92,"特殊格",8000,174,YES
shishen-poge-xiaoshen,"食神破格-枭神夺食",92,"破格",8000,159,YES
xiaoshen-duoshi,"枭神夺食",100,"破格",8000,159,YES
zhengcai-shangge,"正财上格",99,"正格成格",8000,157,YES
guanyin-xiangsheng,"官印相生",218,"正格成格",8000,153,YES
zhengguan-poge-guanke,"正官破格-官被克",92,"破格",8000,152,YES
zhengguan-poge-qisya,"正官破格-七杀混杂",92,"破格",8000,151,YES
zhengguan-poge-hunza,"正官破格-官杀混杂",95,"破格",8000,151,YES
guansha-tongguan,"官杀通关格",165,"通关格",8000,147,YES
yigeng-huajin,"乙庚化金格",192,"化气格",8000,125,YES
jiaji-huatu,"甲己化土格",192,"化气格",8000,117,YES
bingxin-huashui,"丙辛化水格",192,"化气格",8000,113,YES
wugui-huahuo,"戊癸化火格",192,"化气格",8000,113,YES
liuxiu-ri,"六秀日",120,"特殊格",8000,110,YES
dingren-huamu,"丁壬化木格",192,"化气格",8000,110,YES
zhuānwàng-gé,"专旺格-纯",205,"专旺格",8000,107,YES
zhen-qisha-ge,"真七杀格",204,"正格成格",8000,104,YES
geju-shangdeng,"格局上等",80,"格局层次",8000,94,YES
shangguan-poge-guansha,"伤官破格-无财通关",88,"破格",8000,86,YES
jia-cong,"假从格",170,"从格",8000,70,YES
hua-qi-ge,"化气格",160,"化气格",8000,65,YES
kuigang-ge,"魁罡格",175,"特殊格局",8000,65,YES
jia-cong-qiang,"假从强格",150,"从格",8000,40,YES
zhen-guan-ge,"真官格",212,"正格成格",8000,28,YES
jinshen-ge,"金神格",170,"特殊格局",8000,23,YES
tiangan-shunshi,"天干顺食",114,"特殊格",8000,23,YES
jiase-ge,"稼穑格",200,"专旺格",8000,21,YES
renqi-longbei,"壬骑龙背格",175,"特殊格局",8000,19,YES
jia-cong-yin,"假从印格",144,"从格",8000,19,YES
liuyi-shugui,"六乙鼠贵格",175,"特殊格局",8000,18,YES
qisha-poge-yinshang,"七杀破格-印被财破",88,"破格",8000,17,YES
liuyin-chaoyang,"六阴朝阳格",175,"特殊格局",8000,17,YES
liujia-quqian,"六甲趋乾格",175,"特殊格局",8000,17,YES
tiandi-dehe,"天地德合",94,"特殊格",8000,17,YES
jia-cong-shi,"假从势格",155,"从格",8000,14,YES
jia-cong-cai,"假从财格",188,"从格",8000,13,YES
jia-cong-er,"假从儿格",188,"从格",8000,10,YES
zhengguan-shangge,"正官上格",99,"正格成格",8000,9,YES
shishen-poge-shangguan,"食神破格-伤官见官",92,"破格",8000,8,YES
daochong-ge,"倒冲格",170,"特殊格局",8000,7,YES
jinglan-cha,"井栏叉格",170,"特殊格局",8000,6,YES
siwei-chunquan,"四位纯全",116,"特殊格",8000,5,YES
jia-cong-guansha,"假从官杀格",188,"从格",8000,5,YES
zhen-cong-cai,"真从财格",195,"从格",8000,5,YES
jia-zhuanwang,"假专旺格",195,"专旺格",8000,5,YES
quzhi-ge,"曲直格",200,"专旺格",8000,4,YES
yanshang-ge,"炎上格",200,"专旺格",8000,4,YES
congge-ge,"从革格",200,"专旺格",8000,4,YES
cong-er-zhen,"从儿格",185,"从格",8000,4,YES
runxia-ge,"润下格",200,"专旺格",8000,3,YES
qiming-congcai,"弃命从财",185,"从格",8000,3,YES
guanqing-yinzhong,"官轻印重",206,"破格",8000,3,YES
ban-cong-yin,"半从印格",146,"从格",8000,3,YES
cong-guansha-zhen,"从官杀格",190,"从格",8000,2,YES
cong-cai-zhen,"从财格",190,"从格",8000,2,YES
zhen-cong-er,"真从儿格",195,"从格",8000,2,YES
zhen-cong-qiang,"真从强格",153,"从格",8000,2,YES
qiming-congguan,"弃命从官",185,"从格",8000,1,YES
tianyuan-yiqi,"天元一气",175,"特殊格",8000,1,YES
diyuan-yiqi,"地元一气",172,"特殊格",8000,1,YES
tiangan-yiqi,"天干一气",98,"特殊格",8000,1,YES
dizhi-yiqi,"地支一气",96,"特殊格",8000,1,YES
qiming-congsha,"弃命从杀",185,"从格",8000,0,NO
cong-yin-zhen,"从印格",180,"从格",16000,0,NO
feitian-luma,"飞天禄马",180,"特殊格局",8000,0,NO
liangshen-chengxiang,"两神成象",168,"特殊格",8000,0,NO
jinbai-shuiqing,"金白水清",162,"特殊格",8000,0,NO
muhuo-tongming,"木火通明",160,"特殊格",8000,0,NO
shuihuo-jiji,"水火既济",158,"特殊格",8000,0,NO
huotu-chengci,"火土成慈",156,"特殊格",8000,0,NO
jinhan-shuiling,"金寒水冷",154,"特殊格",8000,0,NO
liangqi-chengxiang,"两气成象",112,"特殊格",8000,0,NO
zhen-cong-guansha,"真从官杀格",195,"从格",8000,0,NO
zhen-cong-shi,"真从势格",158,"从格",8000,0,NO
zhen-cong-sha,"真从杀格",142,"从格",8000,0,NO
hanming-tiaohou,"寒命调候格",175,"调候格",8000,0,NO
nuanming-tiaohou,"暖命调候格",175,"调候格",8000,0,NO